Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit 
337,118,4,4.5,4.5,9.65,1,2
324,107,4,4,4.5,8.87,1,1
316,104,3,3,3.5,8,1,2
322,110,3,3.5,2.5,8.67,1,0
314,103,2,2,3,8.21,0,0
330,115,5,4.5,3,9.34,1,0
321,109,3,3,4,8.2,1,2
308,101,2,3,4,7.9,0,0
302,102,1,2,1.5,8,0,0
320,110,5,5,5,9.2,1,1
299,106,2,4,4,8.4,0,2
300,105,1,1,2,7.8,0,0
304,105,1,3,1.5,7.5,0,0
307,108,2,4,3.5,7.7,0,0
308,110,3,3.5,3,8,1,0
316,105,2,2.5,2.5,8.2,1,0
313,107,2,2.5,2,8.5,1,0
332,117,4,4.5,4,9.1,0,1
326,113,5,4.5,4,9.4,1,1
322,110,5,5,4,9.1,1,1
329,114,5,4,5,9.3,1,1
339,119,5,4.5,4,9.7,0,2
321,110,3,3.5,5,8.85,1,1
314,110,3,4,4,8.8,0,1
316,106,2,2.5,4,8.32,0,1
327,113,4,4.5,4.5,9.11,1,2
317,107,3,3.5,3,8.68,1,2
335,118,5,4.5,3.5,9.44,1,1
331,115,5,4.5,3.5,9.36,1,1
324,112,5,5,5,9.08,1,1
324,111,5,4.5,4,9.16,1,0
323,110,5,4,5,8.98,1,0
322,114,5,4.5,4,8.94,1,1
336,118,5,4.5,5,9.53,1,1
316,109,3,3.5,3,8.76,0,2
307,107,2,3,3.5,8.52,1,1
306,105,2,3,2.5,8.26,0,1
310,106,2,3.5,2.5,8.33,0,2
311,104,3,4.5,4.5,8.43,0,1
313,107,3,4,4.5,8.69,0,0
317,103,3,2.5,3,8.54,1,0
315,110,2,3.5,3,8.46,1,1
